Compound;SMILES;E_ox_calc;E_ox_exp;delta_E_ox;Ref.;E_ox_calc_adjusted
74;C1(C=CC2)=C2C=CC=C1;1,572263925;1,58;-0,01;A7;1,6721896355322579
75;C12=CC=CC1=CC=CC=C2;1,001132163;0,94;0,06;A7;1,101057873532258
76;C1(C2=CC=CC=C2)=CC=CC=C1;1,815391457;1,95;-0,13;A12;1,9153171675322582
77;C12=CC=CC=C1C=CC=C2;1,666515525;1,61;0,06;A7;1,766441235532258
78;CC1=CC=CC2=CC=CC=C21;1,517608844;1,45;0,07;A9;1,617534554532258
79;CC1=CC2=CC=CC=C2C=C1;1,58106167;1,43;0,15;A9;1,6809873805322582
80;CC1=CC2=CC=CC=C2C=C1C;1,468465721;1,35;0,12;A9;1,568391431532258
81;CC1=CC2=CC=C(C)C=C2C=C1;1,486908576;1,36;0,13;A9;1,586834286532258
82;C1(C=C2)=C(C2=CC=C3)C3=CC=C1;1,607196123;1,28;0,33;A26;1,7071218335322582
83;CCCN;1,404449889;1,39;0,02;A27;1,504375599532258
84;CCNCC;0,923093438;1,28;-0,35;A20;1,0230191485322582
85;CCCCN;1,404957656;1,39;0,02;A27;1,5048833665322583
86;CC(C)CN;1,395187644;1,38;0,02;A27;1,4951133545322581
87;CC(C)(C)N;1,426067508;1,4;0,03;A27;1,5259932185322582
88;CCCCCN;1,403133398;1,45;-0,04;A27;1,5030591085322582
89;CCCCCCCCC[NH2];1,42319969;1,48;-0,05;A27;1,5231254005322579
90;CCCN(CC)CC;0,682729777;1,19;-0,51;A20;0,7826554875322581
91;CC(C)N(C(C)C);0,886649914;1,27;-0,38;A20;0,9865756245322581
92;CCCCN(CCCC);0,950151176;1,14;-0,19;A20;1,050076886532258
93;CC(C)CN(CC(C)C);1,007705097;1,16;-0,15;A27;1,1076308075322583
94;CN(C)C;0,711450681;1,05;-0,34;A27;0,811376391532258
95;CCN(CC)CC;0,656289194;1,06;-0,4;A7;0,756214904532258
96;CCCN(CC)CC;0,677812662;0,78;-0,1;A27;0,7777383725322581
97;CN(C)CC#N;;1,35;-1,35;A27;
98;C1CNCC1;0,84707843;0,85;0,0;A25;0,9470041405322581
99;C1CNCCC1;0,986255917;1,12;-0,13;A25;1,086181627532258
100;NC1=CC=C(OC)C=C1;0,520209191;0,59;-0,07;A35;0,620134901532258
101;NC1=CC=CC=C1;0,950349276;0,97;-0,02;A7;1,050274986532258
102;NC1=CC=C(Cl)C=C1;0,976233384;0,93;0,05;A35;1,076159094532258
103;NC1=CC=C([N+]([O-])=O)C=C1;1,550990532;1,36;0,19;A35;1,6509162425322579
104;CN(C)CC1=CC=CC=C1;0,784223168;1,0;-0,21;A35;0,8841488785322581
105;CNC1=CC=CC=C1;0,826326136;0,9;-0,07;A25;0,9262518465322581
106;CN(C)C1=CC=CC=C1;0,763061342;0,86;-0,09;A31;0,862987052532258
107;CN(C)C1=CC=C([N+]([O-])=O)C=C1;1,287281867;1,28;0,01;A29;1,387207577532258
108;CCNC1=CC=CC=C1;0,820112122;0,92;-0,1;A22;0,9200378325322581
109;NC1=C(C)C(C)=CC(C)=C1C;0,686485778;0,67;0,02;A11;0,7864114885322581
110;CN(C)C1=CC=C(N(C)C)C=C1;-0,060719794;0,17;-0,23;A31;0,03920591653225807
111;CN(C)C1=CC(N(C)C)=CC=C1;0,465724453;0,59;-0,12;A31;0,565650163532258
112;CN(C)C1=C(N(C)C)C=CC=C1;0,362657149;0,55;-0,19;A31;0,4625828595322581
113;CN(C)C1=CC(OC)=CC=C1;0,743543905;0,76;-0,01;A31;0,8434696155322581
114;CN(C)C1=CC=C(OC)C=C1;0,401368478;0,6;-0,2;A31;0,501294188532258
115;CN(C)C1=C(OC)C=CC=C1;0,546435074;0,75;-0,2;A31;0,6463607845322581
116;NC1=C(C)C(C)=C(N)C(C)=C1C;-0,101950362;0,09;-0,19;A11;-0,002024651467741931
117;NC1=CC=CC2=CC=CC=C21;0,705184421;0,61;0,1;A7;0,8051101315322581
118;NC1=CC2=CC=CC=C2C=C1;0,798387562;0,71;0,09;A7;0,8983132725322581
119;C1(NC2=CC=CC=C2)=CC=CC=C1;0,918931169;1,0;-0,08;A25;1,0188568795322581
120;N12CCN(CC2)CC1;0,482856531;0,57;-0,09;A20;0,5827822415322581
121;[N@]12CC[N@@](C[N@]3C2)C[N@@]3C1;;0,56;-0,56;A20;
122;CN(C)C1=CCCCC1;0,235644828;0,42;-0,18;A21;0,33557053853225804
123;CN(C)C1=C(C)CCCC1C;0,299573855;0,38;-0,08;A21;0,39949956553225807
124;C=C(N(C)C)C1=CC=CC=C1;0,680081827;0,7;-0,02;A21;0,780007537532258
125;C=C(N(C)C)N(C)C;0,357010494;0,48;-0,12;A21;0,4569362045322581
126;CN(C)/C(N(C)C)=C\C;0,106591918;0,23;-0,12;A21;0,20651762853225808
127;CN(C)/C(N(C)C)=C(C)\C;-0,108780989;0,05;-0,16;A21;-0,008855278467741923
128;CN(C)/C(N(C)C)=C(F)\F;0,252006005;0,7;-0,45;A21;0,35193171553225805
129;CN(C)C(=C(Cl)Cl)N(C)C;0,412676754;0,52;-0,11;A21;0,512602464532258
130;CN(C)/C(N(C)C)=C/N(C)C;-0,698929224;-0,4;-0,3;A21;-0,5990035134677419
131;C/C(N(C)C)=C\C=C(C)\N(C)C;-0,633060562;-0,36;-0,27;A21;-0,533134851467742
132;C=C(N(C)C)C(N(C)C)=C;0,673641957;0,58;0,1;A21;0,773567667532258
133;C/C(N(C)C)=C/C(C)=[N+](C)/C;;1,3;-1,3;A21;
134;CO;2,91995211;3,18;-0,26;A34;3,0198778205322583
135;OCC;2,727529913;2,96;-0,23;A34;2,8274556235322583
136;OC(C)C;2,68823653;2,95;-0,26;A34;2,7881622405322584
137;OCCCC;2,717864666;3,01;-0,29;A34;2,8177903765322583
138;OC(C)CC;2,5445501;3,0;-0,45;A34;2,644475810532258
139;OCCCCC;2,713042519;2,91;-0,19;A34;2,8129682295322582
140;OC1=CC=CC=C1;1,736906463;1,37;0,37;A7;1,8368321735322581
141;C12(CC3CC1CC(C3)C2)O;1,631371622;2,45;-0,82;A8;1,7312973325322583
142;C12(CC3CC1CC(C3)C2)CO;2,256566887;2,48;-0,22;A8;2,356492597532258
143;CCOC=C;1,784059882;1,9;-0,11;A39;1,883985592532258
144;COC1=CC=CC=C1;1,672938251;1,7;-0,03;A36;1,772863961532258
145;COC1=CC=CC=C1OC;1,214900409;1,45;-0,23;A30;1,314826119532258
146;COC1=CC=C(OC)C=C1;1,092517305;1,27;-0,18;A11;1,192443015532258
147;COC1=CC=CC(OC)=C1;1,444927788;1,38;0,07;A30;1,544853498532258
148;COC1=CC=CC(OC)=C1OC;1,134029512;1,42;-0,28;A30;1,2339552225322579
149;COC1=CC=C(OC)C=C1OC;0,886670867;1,12;-0,23;A30;0,986596577532258
150;COC1=CC(OC)=CC(OC)=C1;1,441297776;1,49;-0,05;A30;1,541223486532258
151;C1COCCO1;2,031939627;2,24;-0,21;A7;2,131865337532258
152;COC1=CC=C(C2CC2)C=C1;1,267961441;1,35;-0,08;A4;1,367887151532258
153;COC(C1)C1C2=CC=CC=C2;1,228348052;1,46;-0,23;A4;1,328273762532258
154;C12(CC3CC1CC(C3)C2)OC;2,19288358;2,38;-0,19;A8;2,2928092905322583
155;CCC1=CC=C(OC)C=C1;1,466266217;1,46;0,01;A11;1,566191927532258
156;C12=CC=CC=C1OCO2;1,344927762;1,42;-0,07;A11;1,444853472532258
157;C=CC=O;;-1,49;1,49;A10;
158;O=CC1=CC=CC=C1;;-1,68;1,68;A10;
159;O=C(C)C1=CC=CC=C1;;-1,85;1,85;A10;
160;CC1=CC(C)=C(C)C=C1OC;1,195965842;1,95;-0,75;A11;1,2958915525322579
161;OC(C1=CC=C(OCO2)C2=C1)=O;1,598976622;1,63;-0,03;A11;1,698902332532258
162;O=CC1=CC=C(OCO2)C2=C1;1,619055432;1,65;-0,03;A11;1,7189811425322579
163;COC1=CC=C(CC(O)=O)C=C1;1,567474432;1,57;0,0;A11;1,6674001425322582
164;CC(C)(C)C(C)=O;2,341364673;2,42;-0,08;A16;2,4412903835322584
165;CC(C)C(C)=O;2,448649757;2,51;-0,06;A16;2,5485754675322583
166;CC(C)C(C(C)C)=O;2,328960318;2,4;-0,07;A16;2,428886028532258
167;O=COC1=CC=CC=C1;2,294400374;1,97;0,33;A7;2,394326084532258
168;O=C(OC)/C=C\C(OC)=O;;-1,53;1,53;A6;
169;C=CC(OC)=O;;-2,1;2,1;A6;
170;CC(C)(C)[N+]([O-])=O;;-1,79;1,79;A5;
171;CCCC[N+]([O-])=O;;-1,67;1,67;A5;
172;CC[N+]([O-])=O;;-1,64;1,64;A5;
173;C[N+]([O-])=O;;-1,63;1,63;A5;
174;O=[N+](C1=CC=CC=C1)[O-];;-1,19;1,19;A5;
175;CC(C=C1)=CC=C1[N+]([O-])=O;;-1,21;1,21;A5;
176;CC(C=C1)=CC=C1C2CC2;1,589898327;1,97;-0,38;A4;1,689824037532258
177;ClC1=CC=CC=C1;2,383658122;2,4;-0,01;A36;2,483583832532258
178;CC1=CC=C(Cl)C=C1;2,082957622;2,09;-0,01;A36;2,182883332532258
179;C12(CC3CC1CC(C3)C2)F;2,963939201;2,97;0,0;A8;3,0638649115322583
180;ClC12CC3CC(CC1C3)C2;2,558051078;2,97;-0,41;A8;2,6579767885322583
181;CN(C)C=O;2,142333351;2,29;-0,15;A29;2,242259061532258
182;CN(C)C(C)=O;1,914756094;2,09;-0,17;A7;2,014681804532258
183;CN(C)C(C1=CC=CC=C1)=O;1,983666455;2,04;-0,05;A29;2,083592165532258
184;CC(N1CCCCC1)=O;1,898087972;1,88;0,02;A28;1,998013682532258
185;O=C(OC)N1CCCCC1;1,9331116;1,96;-0,02;A28;2,033037310532258
186;C=CC[Si](C)(C)C;1,6516986;1,5;0,15;A24;1,7516243105322582
187;CC(C)=CC[Si](C)(C)C;1,191851738;1,39;-0,2;A24;1,2917774485322582
188;C=C(OCC)O[Si](C)(C)C;1,067854449;1,28;-0,21;A24;1,167780159532258
189;CCOC(O[Si](C)(C)C)=C(C)C;0,526496404;0,9;-0,37;A24;0,626422114532258
190;[SiH3]C1=CC=CC=C1;2,529385413;2,39;0,14;A37;2,629311123532258
191;CC1=CC=C([SiH3])C=C1;2,199103853;2,27;-0,07;A37;2,299029563532258
192;CC1=CC(C)=C([SiH3])C=C1;2,052913423;2,2;-0,15;A37;2,1528391335322583
193;CC1=C(C)C=C([SiH3])C=C1;2,02667094;2,17;-0,14;A37;2,126596650532258
194;CC1=CC(C)=C(C)C=C1[SiH3];1,819389368;2,12;-0,3;A37;1,9193150785322581
195;CC1=CC(C)=C([SiH3])C(C)=C1;1,949492914;2,17;-0,22;A37;2,049418624532258
196;CC1=CC(C)=C(C)C([SiH3])=C1C;1,596283774;1,96;-0,36;A37;1,696209484532258
197;CC1=C(C)C(C)=C([SiH3])C(C)=C1C;1,511039992;1,87;-0,36;A37;1,610965702532258
198;CSC1=CC=C([SiH3])C=C1;1,495753397;1,59;-0,09;A37;1,5956791075322583
199;CN(C)C1=CC=C([SiH3])C=C1;0,919850373;1,07;-0,15;A37;1,0197760835322582
200;COC1=CC(C)=C([SiH3])C=C1;1,68608684;1,95;-0,26;A37;1,786012550532258
201;C[Si](C)(C)CC1=CC=CC=C1;1,664191936;1,38;0,29;A24;1,764117646532258
202;C[Si](C)(C)CSC1=CC=CC=C1;1,223300049;1,48;-0,25;A22;1,3232257595322579
203;C[Si](C)(C)CNC1=CC=CC=C1;0,57686867;0,77;-0,19;A22;0,676794380532258
204;[SiH3]C1=CC=CC([SiH3])=C1;2,533871498;2,41;0,13;A37;2,633797208532258
205;CC1=CC([SiH3])=C(C)C=C1[SiH3];2,035862163;2,19;-0,15;A37;2,135787873532258
206;CCCS;2,139619006;1,47;0,67;A26;2,2395447165322584
207;SCCCC;2,108147564;1,67;0,44;A7;2,208073274532258
208;CSC;1,644229048;1,53;0,12;A7;1,7441547585322579
209;CCSCC;1,696909392;1,68;0,02;A7;1,796835102532258
210;CC1(C)C2C(C)(C)C21SC;1,072870886;0,96;0,11;A3;1,1727965965322582
211;CC1(C)[C@@]2(SC)C(C)(C)[C@]21SC;;0,57;-0,57;A3;
212;CS(C)=O;1,729613785;2,0;-0,27;A7;1,829539495532258
213;CS(N(C)C)(=O)=O;1,91869931;2,07;-0,15;A28;2,0186250205322582
214;C1=CNC=C1;1,353477882;1,09;0,27;A26;1,4534035925322581
215;C1=CC=NC=C1;2,353767395;2,15;0,21;A26;2,4536931055322584
216;C1=CSC=C1;2,073371832;1,93;0,15;A26;2,173297542532258
217;CC(C)(C)C1=CC=CN1;1,106996808;1,12;-0,01;A38;1,206922518532258
218;[O-][N+]1=CC=C([N+]([O-])=O)C=C1;2,183531809;2,13;0,06;A17;2,2834575195322584
219;[O-][N+]1=CC=C(C#N)C=C1;2,054288147;2,27;-0,21;A17;2,154213857532258
220;[O-][N+]1=CC(C#N)=CC=C1;1,986444748;2,01;-0,02;A17;2,086370458532258
221;[O-][N+]1=CC=C(Cl)C=C1;1,631647546;1,79;-0,16;A17;1,7315732565322581
222;[O-][N+]1=CC=CC=C1;1,635753759;1,8;-0,16;A17;1,7356794695322582
223;[O-][N+]1=CC=C(C)C=C1;1,422183613;1,61;-0,19;A17;1,5221093235322583
224;[O-][N+]1=CC(C)=CC=C1;1,564323886;1,79;-0,22;A17;1,6642495965322581
225;[O-][N+]1=CC=C(OC)C=C1;1,112774078;1,36;-0,25;A17;1,212699788532258
226;[O-][N+]1=CC=C(N(C)C)C=C1;0,537816109;0,76;-0,22;A17;0,6377418195322581
227;[O-][N+]1=CC=C(NC(C)=O)C=C1;1,131287139;1,32;-0,19;A17;1,231212849532258
228;[O-][N+]1=CC(OC)=CC=C1;1,553076836;1,72;-0,16;A17;1,653002546532258
229;[O-][N+]1=CC(Cl)=CC=C1;1,81679312;1,9;-0,08;A17;1,916718830532258
230;[O-][N+]1=CC(C(OCC)=O)=CC=C1;1,788521477;1,92;-0,13;A17;1,888447187532258
231;[O-][N+]1=CC=C(C(OCC)=O)C=C1;1,895766832;1,98;-0,08;A17;1,9956925425322583
232;[O-][N+]1=CC=C(CC)C=C1;1,441323899;1,57;-0,13;A17;1,541249609532258
233;C1(C2=CC=CN2)=CC=CN1;0,507460066;0,6;-0,09;A38;0,6073857765322581
234;CC1=CC=C(C2=CC=CN2)N1;0,330297525;0,46;-0,13;A38;0,43022323553225805
235;CC1=CC=C(C2=CC=C(C)N2)N1;0,211109594;0,3;-0,09;A38;0,3110353045322581
236;CC1=NC2=C(N1)C=CC=C2;1,700421033;1,38;0,32;A11;1,8003467435322582
237;CC1=[N+](C)C2=C(N1C)C=CC=C2;;2,3;-2,3;A11;
238;C12=CC=CC=C1N=CC=C2;2,100634473;2,0;0,1;A7;2,200560183532258
239;CC[N+]1=CC=CC2=CC=CC=C21;;2,58;-2,58;A11;
240;C1=CN=CN=N1;;-1,63;1,63;A13;
241;CC1=NC=CN=N1;;-1,7;1,7;A13;
242;O=C(OC)C1=NC=CN=N1;;-1,42;1,42;A13;
243;O=C(OC)C1=NC(C)=C(C)N=N1;;-1,66;1,66;A13;
244;N1=CN=NC=N1;;-0,87;0,87;A13;
245;CC1=NN=C(C)N=N1;;-1,03;1,03;A13;
246;C1(C2=CC=CC=C2)=NN=CN=N1;;-0,89;0,89;A13;
247;NN(C)C;0,010649669;0,19;-0,18;A33;0,11057537953225807
248;CN(C)N(C)C;0,041330617;0,28;-0,24;A18;0,14125632753225809
249;CN(CC)N(C)C;0,061461944;0,27;-0,21;A18;0,16138765453225806
250;CN(N(C)C)CCC;0,085010762;0,27;-0,18;A18;0,1849364725322581
251;CN(N(C)C)CCCC;0,09697674;0,27;-0,17;A18;0,19690245053225808
252;CCN(N(C)C)CC;0,08781028;0,26;-0,17;A18;0,1877359905322581
253;CN(C)N(CCC)CCC;0,173524821;0,25;-0,07;A18;0,27345053153225807
254;CN(N(C)CC)CC;0,089954545;0,26;-0,17;A18;0,18988025553225807
255;CN(N(C)C(C)(C)C)C;0,229510271;0,44;-0,21;A18;0,32943598153225806
256;CN(N(C)C(C)(C)C)C(C)(C)C;0,459845684;0,52;-0,06;A18;0,559771394532258
257;CN(C)N1CCCC1;-0,252146867;0,12;-0,37;A18;-0,15222115646774192
258;CN(C)N1CCCCC1;0,109956618;0,31;-0,2;A18;0,20988232853225808
259;N1(N2CCCC2)CCCC1;-0,32334136;-0,03;-0,29;A18;-0,22341564946774195
260;N1(CCCCC1)N2CCCC2;-0,183394333;0,15;-0,33;A18;-0,08346862246774192
261;N12CCCN1CCC2;-0,359269226;0,03;-0,39;A18;-0,2593435154677419
262;CN1CCCN1C;-0,263961549;0,06;-0,32;A18;-0,16403583846774195
263;CN1[C@H]2CC[C@H](CC2)N1C;-0,284305126;0,1;-0,38;A18;-0,18437941546774195
264;CN1[C@@H](C)CC[C@@H](C)N1C;-0,011084687;0,15;-0,16;A18;0,08884102353225808
265;CN1CCCCN1C;0,782148837;0,18;0,6;A18;0,8820745475322581
266;CN1CC=CCN1C;0,049991488;0,28;-0,23;A32;0,14991719853225807
267;N12CCCCN1CCCC2;-0,034129004;0,23;-0,26;A18;0,06579670653225808
268;N12CC=CCN1CC=CC2;0,117835975;0,3;-0,18;A32;0,21776168553225805
269;CCN1N(CC)COC1;0,306854832;0,56;-0,25;A32;0,4067805425322581
270;CN1N(C)CN(C)N(C)C1;0,060056199;0,32;-0,26;A32;0,15998190953225808
271;[C@H]12CC[C@@H](N=N2)C1;1,876869545;1,97;-0,09;A23;1,976795255532258
272;CC1(C)[C@@H]2CC[C@H]1N=N2;1,800709773;1,85;-0,05;A23;1,900635483532258
273;C[C@]12CC[C@](N=N2)(C)C1;1,634122703;1,59;0,05;A23;1,7340484135322582
274;[C@H]12CC[C@@H](CC2)N=N1;1,321575683;1,45;-0,13;A23;1,421501393532258
275;C[C@@]1(CC2)CC[C@@]2(C)N=N1;1,21404624;1,34;-0,12;A23;1,3139719505322582
276;CC1(C)CC(C)(C(OC)=O)N=N1;1,942486229;2,05;-0,11;A23;2,042411939532258
277;[C@H]12C=C[C@@H](C2)[C@@H]3[C@H]1N=N3;2,008222642;2,3;-0,29;A23;2,108148352532258
278;CN(C)N=NN(C)C;0,159098108;0,41;-0,25;A19;0,2590238185322581
279;CCN(CC)N=NN(CC)CC;0,160536507;0,32;-0,16;A19;0,26046221753225807
